Program Link,Program Name,Website,Name,ACGME Program Code,Program Director,PD Gender,Program Coordinator,PGY1,PGY2,PGY3,Region,Institutional Setting,Participates in ERAS,Program has Osteopathic Recognition,# of Residents Who Were Graduates of a Joint MD-PhD program,Categorical Positions,Categorical Positions Filled,Advanced Positions Offered,Advanced Positions Filled,# of Applicants:,II Rate,Interviews,Total Spots,Post II Odds,Spots/Apps,Alpha Omega Alpha (AOA),Gold Humanism Honor Society (GHHS),Sigma Sigma Phi (SSP)
/Program/GetById/289,Baylor College of Medicine Program,http://www.bcm.edu/dermatology,Baylor College of Medicine Program,804821087,Omid Jalali,,Rose Ewing,4,4,4,West South Central,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,639,7.8,50,4,8%,0.63%,67%,6%,0%
/Program/GetById/220,Baylor University Medical Center Program,https://www.bswhealth.med/education/Pages/gme/dallas/dermatology-residency.aspx,Baylor University Medical Center Program,804813142,Dario Kivelevitch,,Taylor Martinez,1,1,0,West South Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,0,–,#VALUE!,2,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/258,Beaumont Health (Farmington Hills) Program,https://www.beaumont.edu/graduate-medical-education/residency-programs/dermatology/dermatology-residency-farmington-hills,Beaumont Health (Farmington Hills) Program,802500142,Lynn Sikorski,,Kathleen Summers,2,2,2,East North Central,Community Hospital,Yes,Yes,–,2,2,–,# of Positions Filled:,331,7.3,24,2,8%,0.60%,–,–,–
/Program/GetById/275,Beaumont Health (Trenton) Program,http://www.beaumont.edu,Beaumont Health (Trenton) Program,802500145,Steven Grekin,,Melissa Arthur,2,2,2,East North Central,Community Hospital,Yes,No,–,2,2,–,# of Positions Filled:,392,6.4,25,2,8%,0.51%,–,–,–
/Program/GetById/227,Boston University Medical Center Program,https://www.bumc.bu.edu/derm/training-programs-overview/boston-medical-center-residency-program/,Boston University Medical Center Program,802421044,Lisa Shen,,Tara Cusack,5,5,4,New England,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,626,10.4,65,5,8%,0.80%,44%,20%,0%
/Program/GetById/188,Broward Health Program,https://gme.browardhealth.org/program-category/residency/program/dermatology,Broward Health Program,801100138,Carlos Nousari,,Tanequa Dowdell,3,3,3,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,515,14,72,3,4%,0.58%,31%,13%,13%
/Program/GetById/212,Brown University Program,https://www.brown.edu/academics/medical/about/departments/dermatology/,Brown University Program,804321122,John Kawaoka,,Erika Abou Kelila,4,5,6,New England,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,665,6.8,45,4,9%,0.60%,55%,10%,0%
/Program/GetById/175,Campbell University Program,http://www.sampsonrmc.org,,,,,,,,,,,,,,,,,,,,0,,#DIV/0!,#DIV/0!,,,
/Program/GetById/182,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,https://carilionclinic.org/dermatology-residency#about,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,805100131,Mariana Phillips,,Katelyn Dunbar,2,1,1,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,461,6.5,30,2,7%,0.43%,–,–,–
/Program/GetById/217,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,https://www.uhhospitals.org/services/dermatology-services/for-clinicians/clinical-education/dermatology-residency,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,803821120,Timmie Sharma,,Kristina Myers,6,6,6,East North Central,University Hospital,Yes,Yes,1,–,# of Positions Filled:,6,6,705,8.8,62,6,10%,0.85%,23%,10%,20%
/Program/GetById/208,Cleveland Clinic Foundation Program,http://www.clevelandclinic.org/dermresidency,Cleveland Clinic Foundation Program,803812070,Alok Vij,,Cheryl Williams,4,4,3,East North Central,Affiliated Hospital,Yes,No,–,4,4,–,# of Positions Filled:,673,7.1,48,4,8%,0.59%,45%,30%,0%
/Program/GetById/209,Cook County Health and Hospitals System Program,https://cookcountyhealth.org/education-research/residency-programs/dermatology/,Cook County Health and Hospitals System Program,801612030,David Othman,,Talath Ahmed,3,4,4,East North Central,Community Hospital,Yes,No,–,–,# of Positions Filled:,3,3,608,4.9,30,3,10%,0.49%,12%,24%,0%
/Program/GetById/203,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,https://gme.dartmouth-hitchcock.org/dermatology,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,803221053,Joi Carter,,Kelly Rose,3,3,3,New England,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,584,6.8,40,3,8%,0.51%,27%,0%,0%
/Program/GetById/249,Dermatologists of Central States (DOCS) Program,https://www.mwdermatology.com/index.html,Dermatologists of Central States (DOCS) Program,802500001,David Altman,,Patrice Robertson,0,0,0,East North Central,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/250,Duke University Hospital Program,https://dermatology.duke.edu/,Duke University Hospital Program,803621067,Erin Lesesky,,Jessica Braddock,5,5,5,South Atlantic,University Hospital,Yes,No,2,–,# of Positions Filled:,6,6,731,6.8,50,6,12%,0.82%,27%,15%,0%
/Program/GetById/261,Eastern Virginia Medical School Program,http://www.evms.edu/education/centers_institutes_departments/dermatology/residency/,Eastern Virginia Medical School Program,805121130,Abby Van Voorhees,,April McGuire,3,1,3,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,579,6.4,37,2,5%,0.35%,25%,8%,0%
/Program/GetById/205,Emory University School of Medicine Program,http://www.dermatology.emory.edu,Emory University School of Medicine Program,801221028,Jamie MacKelfresh,,Catherine Thayer,7,6,7,South Atlantic,Not Available,Yes,No,1,–,# of Positions Filled:,6,6,766,–,#VALUE!,6,#VALUE!,0.78%,33%,15%,0%
/Program/GetById/273,Geisinger Health System Program,https://www.geisinger.edu/education/residencies-fellowships/residencies/dermatology-residency,Geisinger Health System Program,804112076,Eric Hossler,,Tammy Rodenhaver,4,4,4,Middle Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,4,4,601,6.7,40,4,10%,0.67%,70%,20%,0%
/Program/GetById/211,Hackensack University Medical Center (Palisades) Program,http://www.palisadesmedical.org/Content/106/dermatology-residency-program.html,Hackensack University Medical Center (Palisades) Program,803300129,Adriana Ros,,Maria Pallarino,3,3,3,Middle Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,488,6.1,30,3,10%,0.61%,6%,0%,11%
/Program/GetById/254,HCA Florida Healthcare/USF Morsani College of Medicine GME Largo Hospital Program,https://www.hcafloridahealthcare.com/for-medical-professionals/graduate-medical-education/largo-hospital/dermatology,HCA Florida Healthcare/USF Morsani College of Medicine GME Largo Hospital Program,801100139,Richard Miller,,Jessica Biarnes,3,3,3,South Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,3,3,475,5.1,24,3,13%,0.63%,0%,13%,40%
/Program/GetById/270,HCA Florida Orange Park Hospital Program,https://orangeparkmedical.com/physicians/graduate-medical-education/dermatology/,HCA Florida Orange Park Hospital Program,801100140,Karthik Krishnamurthy,,Leah Todd,3,3,3,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,446,9,40,3,8%,0.67%,11%,17%,22%
/Program/GetById/293,HCA Healthcare Corpus Christi Medical Center - Bay Area Program,http://www.dermresidency.org,HCA Healthcare Corpus Christi Medical Center - Bay Area Program,804800145,Rick Lin,,Alberto Najera,2,2,1,West South Central,Community Hospital,Yes,No,–,–,# of Positions Filled:,1,1,338,4.4,15,1,7%,0.30%,–,–,–
/Program/GetById/266,HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program,https://lewisgale.com/locations/lewisgale-montgomery/graduate-medical-education/,HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program,805100132,Chad Johnston,,Donna Underwood,2,2,2,South Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,2,2,402,6.2,25,2,8%,0.50%,–,–,–
/Program/GetById/216,HCA Medical City Healthcare UNT-TCU GME (Fort Worth) Program,–,HCA Medical City Healthcare UNT-TCU GME (Fort Worth) Program,804800144,Stephen Weis,,Kavina Bhula,1,1,1,West South Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,1,1,361,5,18,1,6%,0.28%,–,–,–
/Program/GetById/177,HealthPartners Institute Program,http://healthpartnersdermatologyresidency.com/,HealthPartners Institute Program,802600050,Neal Foman,,Gretchen Jackson,3,2,2,West North Central,Community Hospital,Yes,No,–,–,# of Positions Filled:,3,3,542,5.5,30,3,10%,0.55%,36%,36%,18%
/Program/GetById/166,Henry Ford Health/Henry Ford Hospital Program,http://www.henryford.com/body_program.cfm?id=49992,Henry Ford Health/Henry Ford Hospital Program,802512046,Holly Kerr,,Monica Murphy,7,7,7,East North Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,7,7,673,12.2,82,7,9%,1.04%,43%,26%,0%
/Program/GetById/176,HES/Lake Granbury Medical Center Program,–,HES/Lake Granbury Medical Center Program,804800001,Clay Cockerell,,Aurea Baez-Martinez,0,0,0,West South Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/178,HonorHealth Program,https://www.honorhealth.com/academic-affairs/dermatology-residency-program/residents,HonorHealth Program,800300148,Christopher Reardon,,Maira Israel,2,2,2,Mountain,Community Hospital,Yes,No,–,–,# of Positions Filled:,2,2,455,6.6,30,2,7%,0.44%,0%,0%,10%
/Program/GetById/181,Howard University Program,http://huhosp.org/Education/GME/Residency/Dermatology.htm,Howard University Program,801021025,Cheri Frey,,Alonda Thompson,5,3,3,South Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,535,9,48,3,6%,0.56%,16%,16%,0%
/Program/GetById/210,Icahn School of Medicine at Mount Sinai Program,http://www.mountsinaidermatology.com,Icahn School of Medicine at Mount Sinai Program,803500127,Alexandra Golant,,Diana Ramos,9,10,9,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,9,9,594,0,0,9,#DIV/0!,1.52%,34%,9%,0%
/Program/GetById/213,Indiana University School of Medicine Program,http://dermatology.medicine.iu.edu,Indiana University School of Medicine Program,801721035,Nidhi Avashia-Khemka,,Kelli Cassidy,0,4,4,East North Central,Affiliated Hospital,Yes,No,–,2,2,2,2,627,7.2,45,4,9%,0.64%,78%,17%,0%
/Program/GetById/215,Kaiser Permanente Southern California (Los Angeles) Program,https://residency-scal-kaiserpermanente.org/residency/dermatology/,Kaiser Permanente Southern California (Los Angeles) Program,800512144,Jeremy Man,,Louis Arevalo,2,3,2,Pacific,Community Hospital,Yes,No,–,2,2,–,# of Positions Filled:,400,6.5,26,2,8%,0.50%,40%,0%,0%
/Program/GetById/219,Kansas City University GME Consortium (KCU-GME Consortium)/ADCS-Orlando Program,http://orlandodermresidency.com,Kansas City University GME Consortium (KCU-GME Consortium)/ADCS-Orlando Program,801100141,Jere Mammino,,Kayla Alvarez,3,3,3,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,427,7.7,33,3,9%,0.70%,13%,27%,33%
/Program/GetById/198,Kansas City University GME Consortium (KCU-GME Consortium) Phoenix Program,https://omnidermatology.com/,Kansas City University GME Consortium (KCU-GME Consortium) Phoenix Program,800300146,Andrew Racette,,Tiffany Muser,0,2,2,Mountain,Affiliated Hospital,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/229,Larkin Community Hospital Palm Springs Campus Program,http://www.larkinhospital.com/,Larkin Community Hospital Palm Springs Campus Program,801100144,Brad Glick,,Rita Mayorga,4,3,3,South Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,5,5,594,–,#VALUE!,5,#VALUE!,0.84%,0%,7%,21%
/Program/GetById/233,Larkin Community Hospital Program,https://www.graduatemedicaleducation.org/,Larkin Community Hospital Program,801100143,Stanley Skopit,,Lisandra Inastrilla,5,5,5,South Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,6,3,829,12.1,100,6,6%,0.72%,8%,8%,13%
/Program/GetById/238,Lehigh Valley Health Network Program,http://www.lvhn.org/research_and_education/residents/residency_programs/dermatology,Lehigh Valley Health Network Program,804100105,Cynthia Bartus,,Michelle Brown,2,2,2,Middle Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,480,4.2,20,2,10%,0.42%,–,–,–
/Program/GetById/257,Loma Linda University Health Education Consortium Program,http://www.llu.edu/llumc/residency/train.htm,Loma Linda University Health Education Consortium Program,800521111,Janiene Luke,,Cindi Morrill,3,3,3,Pacific,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,534,5.6,30,3,10%,0.56%,47%,20%,0%
/Program/GetById/276,Los Angeles County-Harbor-UCLA Medical Center Program,http://www.harbor-ucla.org/dermatology/,Los Angeles County-Harbor-UCLA Medical Center Program,800512137,Delphine Lee,,Paige Kobayashi,2,2,2,Pacific,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,539,5.6,30,2,7%,0.37%,–,–,–
