Medical School,count,Matriculants,Affiliated Program,State,Percent of Class
UCLA,34,175,UCLA David Geffen School of Medicine/UCLA Medical Center Program,CA,3.8857142857142852
SUNY Down,40,207,SUNY Downstate Health Sciences University Program,NY,3.8647342995169085
NW,27,145,McGaw Medical Center of Northwestern University Program,IL,3.724137931034483
Michigan,30,164,University of Michigan Health System Program,MI,3.658536585365854
Vanderbilt,14,95,Vanderbilt University Medical Center Program,TN,2.947368421052631
MD,21,147,University of Maryland Program,MD,2.8571428571428568
Hopkins,17,120,Johns Hopkins University Program,MD,2.833333333333333
Cornell,15,106,New York Presbyterian Hospital (Cornell Campus) Program,NY,2.830188679245283
Case,30,216,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,OH,2.7777777777777777
FU,18,135,University of Florida Program,FL,2.666666666666667
Columbia,18,138,New York Presbyterian Hospital (Columbia Campus) Program,NY,2.608695652173913
S AL,10,78,,AL,2.564102564102564
Einstein,23,183,Montefiore Medical Center/Albert Einstein College of Medicine Program,NY,2.5136612021857925
USC,23,186,University of Southern California/LAC+USC Medical Center Program,CA,2.4731182795698925
SLU,22,178,St Louis University School of Medicine Program,MO,2.4719101123595504
BU,18,146,Boston University Medical Center Program,MA,2.4657534246575343
UTA,6,50,,TX,2.4
SBU,16,136,Stony Brook Medicine/University Hospital Program,NY,2.352941176470588
MCG,31,264,Medical College of Georgia Program,GA,2.3484848484848486
FIU,14,121,,FL,2.314049587
Rutgers,20,174,,NJ,2.2988505747126435
Yale,12,105,Yale-New Haven Medical Center Program,CT,2.2857142857142856
Jeff,31,272,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,PA,2.2794117647058822
Nebraska,15,132,University of Nebraska Medical Center College of Medicine Program,NE,2.2727272727272725
Albany,16,143,,NY,2.2377622377622375
MO Columbia,14,128,University of Missouri-Columbia Program,MO,2.1875
NYMC,24,220,New York Medical College (Metropolitan) Program,NY,2.1818181818181817
KS,23,211,University of Kansas School of Medicine Program,KS,2.1800947867298577
Sinai,13,120,Icahn School of Medicine at Mount Sinai Program,NY,2.166666666666667
Penn,17,157,University of Pennsylvania Health System Program,PA,2.1656050955414012
Pitt,16,148,UPMC Medical Education Program,PA,2.1621621621621623
Puerto Rico,11,102,University of Puerto Rico Program,PR,2.1568627450980395
UNC,22,204,University of North Carolina Hospitals Program,NC,2.1568627450980395
Harvard,17,163,Mass General Brigham/Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women’s Hosp Program,MA,2.085889570552147
SIU,8,80,Southern Illinois University Program,IL,2
Georgetown,20,201,,DC,1.9900497512437814
UCSF,17,173,University of California (San Francisco) Program,CA,1.9653179190751444
Wright,12,126,Wright State University Program,OH,1.9047619047619047
Duke,11,118,Duke University Hospital Program,NC,1.8644067796610169
TN,16,173,University of Tennessee Program,TN,1.8497109826589593
Hofstra,9,99,Zucker School of Medicine at Hofstra/Northwell Program,NY,1.8181818181818183
UTSA,21,232,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,TX,1.8103448275862069
WVU,10,112,West Virginia University Program,WV,1.7857142857142858
CT,10,112,University of Connecticut Program,CT,1.7857142857142858
Tech,16,181,Texas Tech University Health Sciences Center at Lubbock Program,TX,1.767955801104972
Wisconsin,15,171,University of Wisconsin Hospitals and Clinics Program,WI,1.7543859649122804
IA,13,152,University of Iowa Hospitals and Clinics Program,IA,1.7105263157894737
Rush,12,141,Rush University Medical Center Program,IL,1.702127659574468
Mayo,9,108,Mayo Clinic College of Medicine and Science (Rochester) Program,MN,1.6666666666666665
CO,15,181,University of Colorado Program,CO,1.6574585635359114
MUSC,14,172,Medical University of South Carolina Program,SC,1.627906976744186
NYU,8,100,NYU Grossman School of Medicine Program,NY,1.6
Oakland,10,125,,MI,1.6
Tufts,16,202,Tufts Medical Center Program,MA,1.5841584158415842
Rutgers RWJ,13,165,Rutgers Health/Robert Wood Johnson Medical School Program,NJ,1.5757575757575757
Stanford,7,89,Stanford Health Care-Sponsored Stanford University Program,CA,1.5730337078651684
ECU,7,90,,NC,1.5555555555555556
UTSW,18,232,University of Texas Southwestern Medical Center Program,TX,1.5517241379310345
Rochester,8,104,University of Rochester Program,NY,1.5384615384615385
IN,28,364,Indiana University School of Medicine Program,IN,1.5384615384615385
