State,City,Program Name,ID,Uses Signals?,PD Gender,Region,Total Spots,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Notes
Alabama,Birmingham,University of Alabama Medical Center Program,800121010,Unregistered,F,East South Central,7.0,,,,,,,,,,,,,,
Arizona,Glendale,Kansas City University GME Consortium (KCU-GME Consortium) Phoenix Program,800300146,Participating,M,Mountain,2.0,,,,,,,,,,,,,,
Arizona,Scottsdale,HonorHealth Program,800300148,Participating,M,Mountain,2.0,,,,,,,,,,,,,,
Arizona,Scottsdale,Mayo Clinic College of Medicine and Science (Arizona) Program,800321127,Participating,M,Mountain,2.0,,,,,,,,,,,,,,
Arizona,Tucson,University of Arizona College of Medicine-Tucson Program,800321145,Participating,M,Mountain,4.0,,,,,,,,,,,,,,Has data back to 2018
Arkansas,Little Rock,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,800421013,Participating,M,West South Central,3.0,,,,,,,,,,,,,,
California,Irvine,University of California (Irvine) Program,800521014,Participating,F,Pacific,5.0,,,,,,,,,,,,,,
California,La Jolla,University of California (San Diego) Medical Center Program,800521018,Participating,F,Pacific,5.0,,,,,,,,,,,,,,
California,Loma Linda,Loma Linda University Health Education Consortium Program,800521111,Participating,F,Pacific,3.0,,,,,,,,,,,,,,
California,Los Angeles,Kaiser Permanente Southern California (Los Angeles) Program,800512144,Participating,M,Pacific,2.0,,,,,,,,,,,,,,
California,Los Angeles,UCLA David Geffen School of Medicine/UCLA Medical Center Program,800521017,Participating,F,Pacific,5.0,,,,,,,,,,,,,,
California,Los Angeles,University of Southern California/LAC+USC Medical Center Program,800511015,Participating,F,Pacific,4.0,,,,,,,,,,,,,,
California,Newport Beach,Prime West Consortium/Newport Beach Program,800500145,Not Participating,M,Pacific,1.0,,,,,,,,,,,,,,
California,Redwood City,Stanford Health Care-Sponsored Stanford University Program,800521020,Participating,F,Pacific,8.0,,,,,,,,,,,,,,
California,Sacramento,University of California Davis Health Program,800521101,Participating,F,Pacific,5.0,,,,,,,,,,,,,,
California,San Francisco,University of California (San Francisco) Program,800521019,Participating,F,Pacific,7.0,,,,,,,,,,,,,,
California,Torrance,Los Angeles County-Harbor-UCLA Medical Center Program,800512137,Participating,F,Pacific,2.0,,,,,,,,,,,,,,
Colorado,Aurora,University of Colorado Program,800721022,Participating,F,Mountain,5.0,,,,,,,,,,,,,,
Connecticut,Farmington,University of Connecticut Program,800831138,Participating,M,New England,4.0,,,,,,,,,,,,,,
Connecticut,New Haven,Yale-New Haven Medical Center Program,800821023,Participating,M,New England,5.0,,,,,,,,,,,,,,
District of Columbia,Washington,George Washington University School of Medicine Program,801000127,Participating,M,South Atlantic,3.0,,,,,,,,,,,,,,
District of Columbia,Washington,Howard University Program,801021025,Participating,F,South Atlantic,3.0,,,,,,,,,,,,,,
District of Columbia,Washington,MedStar Health/Washington Hospital Center Program,801021106,Participating,F,South Atlantic,3.0,,,,,,,,,,,,,,
Florida,Fort Lauderdale,Broward Health Program,801100138,Participating,M,South Atlantic,3.0,,,,,,,,,,,,,,
Florida,Gainesville,University of Florida Program,801121115,Participating,M,South Atlantic,4.0,,,,,,,,,,,,,,
Florida,Hialeah,Larkin Community Hospital Palm Springs Campus Program,801100144,Participating,M,South Atlantic,5.0,,,,,,,,,,,,,,
Florida,Jacksonville,Mayo Clinic College of Medicine and Science (Jacksonville) Program,801131125,Participating,F,South Atlantic,2.0,,,,,,,,,,,,,,
Florida,Largo,HCA Florida Healthcare/USF Morsani College of Medicine GME Largo Hospital,801100139,Participating,M,South Atlantic,3.0,,,,,,,,,,,,,,
Florida,Maitland,Kansas City University GME Consortium (KCU-GME Consortium)/ADCS-Orlando Program,801100141,Participating,M,South Atlantic,3.0,,,,,,,,,,,,,,
Florida,Miami,University of Miami/Jackson Health System Program,801121026,Unregistered,M,South Atlantic,9.0,,,,,,,,,,,,,,
Florida,Orange Park,HCA Florida Orange Park Hospital Program,801100140,Participating,M,South Atlantic,3.0,,,,,,,,,,,,,,
Florida,South Miami,Larkin Community Hospital Program,801100143,Participating,M,South Atlantic,6.0,,,,,,,,,,,,,,
Florida,Tallahassee,Florida State University College of Medicine Program,801100137,Unregistered,M,South Atlantic,,,,,,,,,,,,,,,
Florida,Tallahassee,University of Central Florida/HCA Florida Healthcare (Tallahassee) Program,801100001,Participating,M,South Atlantic,2.0,,,,,,,,,,,,,,
Florida,Tampa,University of South Florida Morsani Program,801121096,Participating,M,South Atlantic,4.0,,,,,,,,,,,,,,
Georgia,Atlanta,Emory University School of Medicine Program,801221028,Unregistered,F,South Atlantic,6.0,,,,,,,,,,,,,,
