Program Link,Program Name,Website,Name,ACGME Program Code,Program Director,PD Gender,Program Coordinator,PGY1,PGY2,PGY3,Region,Institutional Setting,Participates in ERAS,Program has Osteopathic Recognition,# of Residents Who Were Graduates of a Joint MD-PhD program,Categorical Positions,Categorical Positions Filled,Advanced Positions Offered,Advanced Positions Filled,# of Applicants:,II Rate,Interviews,Total Spots,Post II Odds,Spots/Apps,Alpha Omega Alpha (AOA),Gold Humanism Honor Society (GHHS),Sigma Sigma Phi (SSP)
/Program/GetById/289,Baylor College of Medicine Program,http://www.bcm.edu/dermatology,Baylor College of Medicine Program,804821087.0,Omid Jalali,M,Rose Ewing,4.0,4.0,4.0,West South Central,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,639.0,7.8,50,4.0,0.08,0.006259780908,0.67,0.06,0
/Program/GetById/220,Baylor University Medical Center Program,https://www.bswhealth.med/education/Pages/gme/dallas/dermatology-residency.aspx,Baylor University Medical Center Program,804813142.0,Dario Kivelevitch,M,Taylor Martinez,1.0,1.0,0.0,West South Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,0.0,–,#VALUE!,2.0,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/258,Beaumont Health (Farmington Hills) Program,https://www.beaumont.edu/graduate-medical-education/residency-programs/dermatology/dermatology-residency-farmington-hills,Beaumont Health (Farmington Hills) Program,802500142.0,Lynn Sikorski,F,Kathleen Summers,2.0,2.0,2.0,East North Central,Community Hospital,Yes,Yes,–,2,2,–,# of Positions Filled:,331.0,7.3,24,2.0,0.08333333333,0.006042296073,–,–,–
/Program/GetById/275,Beaumont Health (Trenton) Program,http://www.beaumont.edu,Beaumont Health (Trenton) Program,802500145.0,Steven Grekin,M,Melissa Arthur,2.0,2.0,2.0,East North Central,Community Hospital,Yes,No,–,2,2,–,# of Positions Filled:,392.0,6.4,25,2.0,0.08,0.005102040816,–,–,–
/Program/GetById/227,Boston University Medical Center Program,https://www.bumc.bu.edu/derm/training-programs-overview/boston-medical-center-residency-program/,Boston University Medical Center Program,802421044.0,Lisa Shen,F,Tara Cusack,5.0,5.0,4.0,New England,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,626.0,10.4,65,5.0,0.07692307692,0.007987220447,0.44,0.2,0
/Program/GetById/188,Broward Health Program,https://gme.browardhealth.org/program-category/residency/program/dermatology,Broward Health Program,801100138.0,Carlos Nousari,M,Tanequa Dowdell,3.0,3.0,3.0,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,515.0,14,72,3.0,0.04166666667,0.005825242718,0.31,0.13,0.13
/Program/GetById/212,Brown University Program,https://www.brown.edu/academics/medical/about/departments/dermatology/,Brown University Program,804321122.0,John Kawaoka,M,Erika Abou Kelila,4.0,5.0,6.0,New England,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,665.0,6.8,45,4.0,0.08888888889,0.006015037594,0.55,0.1,0
/Program/GetById/175,Campbell University Program,http://www.sampsonrmc.org,,,,,,,,,,,,,,,,,,,,0,,#DIV/0!,#DIV/0!,,,
/Program/GetById/182,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,https://carilionclinic.org/dermatology-residency#about,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,805100131.0,Mariana Phillips,F,Katelyn Dunbar,2.0,1.0,1.0,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,461.0,6.5,30,2.0,0.06666666667,0.004338394794,–,–,–
/Program/GetById/217,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,https://www.uhhospitals.org/services/dermatology-services/for-clinicians/clinical-education/dermatology-residency,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,803821120.0,Timmie Sharma,M,Kristina Myers,6.0,6.0,6.0,East North Central,University Hospital,Yes,Yes,1,–,# of Positions Filled:,6,6,705.0,8.8,62,6.0,0.09677419355,0.008510638298,0.23,0.1,0.2
/Program/GetById/208,Cleveland Clinic Foundation Program,http://www.clevelandclinic.org/dermresidency,Cleveland Clinic Foundation Program,803812070.0,Alok Vij,M,Cheryl Williams,4.0,4.0,3.0,East North Central,Affiliated Hospital,Yes,No,–,4,4,–,# of Positions Filled:,673.0,7.1,48,4.0,0.08333333333,0.005943536404,0.45,0.3,0
/Program/GetById/209,Cook County Health and Hospitals System Program,https://cookcountyhealth.org/education-research/residency-programs/dermatology/,Cook County Health and Hospitals System Program,801612030.0,David Othman,M,Talath Ahmed,3.0,4.0,4.0,East North Central,Community Hospital,Yes,No,–,–,# of Positions Filled:,3,3,608.0,4.9,30,3.0,0.1,0.004934210526,0.12,0.24,0
/Program/GetById/203,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,https://gme.dartmouth-hitchcock.org/dermatology,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,803221053.0,Joi Carter,F,Kelly Rose,3.0,3.0,3.0,New England,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,584.0,6.8,40,3.0,0.075,0.005136986301,0.27,0,0
/Program/GetById/249,Dermatologists of Central States (DOCS) Program,https://www.mwdermatology.com/index.html,Dermatologists of Central States (DOCS) Program,802500001.0,David Altman,M,Patrice Robertson,0.0,0.0,0.0,East North Central,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0.0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/250,Duke University Hospital Program,https://dermatology.duke.edu/,Duke University Hospital Program,803621067.0,Erin Lesesky,F,Jessica Braddock,5.0,5.0,5.0,South Atlantic,University Hospital,Yes,No,2,–,# of Positions Filled:,6,6,731.0,6.8,50,6.0,0.12,0.008207934337,0.27,0.15,0
/Program/GetById/261,Eastern Virginia Medical School Program,http://www.evms.edu/education/centers_institutes_departments/dermatology/residency/,Eastern Virginia Medical School Program at Old Dominion University,805121130.0,Abby Van Voorhees,F,April McGuire,3.0,1.0,3.0,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,579.0,6.4,37,2.0,0.05405405405,0.003454231434,0.25,0.08,0
/Program/GetById/205,Emory University School of Medicine Program,http://www.dermatology.emory.edu,Emory University School of Medicine Program,801221028.0,Jamie MacKelfresh,F,Catherine Thayer,7.0,6.0,7.0,South Atlantic,Not Available,Yes,No,1,–,# of Positions Filled:,6,6,766.0,–,#VALUE!,6.0,#VALUE!,0.007832898172,0.33,0.15,0
/Program/GetById/273,Geisinger Health System Program,https://www.geisinger.edu/education/residencies-fellowships/residencies/dermatology-residency,Geisinger Health System Program,804112076.0,Eric Hossler,M,Tammy Rodenhaver,4.0,4.0,4.0,Middle Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,4,4,601.0,6.7,40,4.0,0.1,0.006655574043,0.7,0.2,0
/Program/GetById/211,Hackensack University Medical Center (Palisades) Program,http://www.palisadesmedical.org/Content/106/dermatology-residency-program.html,Hackensack University Medical Center (Palisades) Program,803300129.0,Adriana Ros,F,Maria Pallarino,3.0,3.0,3.0,Middle Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,488.0,6.1,30,3.0,0.1,0.006147540984,0.06,0,0.11
/Program/GetById/254,HCA Florida Healthcare/USF Morsani College of Medicine GME Largo Hospital Program,https://www.hcafloridahealthcare.com/for-medical-professionals/graduate-medical-education/largo-hospital/dermatology,HCA Florida Healthcare/USF Morsani College of Medicine GME Largo Hospital Program,801100139.0,Richard Miller,M,Jessica Biarnes,3.0,3.0,3.0,South Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,3,3,475.0,5.1,24,3.0,0.125,0.006315789474,0,0.13,0.4
/Program/GetById/270,HCA Florida Orange Park Hospital Program,https://orangeparkmedical.com/physicians/graduate-medical-education/dermatology/,HCA Florida Orange Park Hospital Program,801100140.0,Karthik Krishnamurthy,M,Leah Todd,3.0,3.0,3.0,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,446.0,9,40,3.0,0.075,0.006726457399,0.11,0.17,0.22
/Program/GetById/293,HCA Healthcare Corpus Christi Medical Center - Bay Area Program,http://www.dermresidency.org,HCA Healthcare Corpus Christi Medical Center - Bay Area Program,804800145.0,Rick Lin,M,Alberto Najera,2.0,2.0,1.0,West South Central,Community Hospital,Yes,No,–,–,# of Positions Filled:,1,1,338.0,4.4,15,1.0,0.06666666667,0.002958579882,–,–,–
/Program/GetById/266,HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program,https://lewisgale.com/locations/lewisgale-montgomery/graduate-medical-education/,HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program,805100132.0,Chad Johnston,M,Donna Underwood,2.0,2.0,2.0,South Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,2,2,402.0,6.2,25,2.0,0.08,0.004975124378,–,–,–
/Program/GetById/216,HCA Medical City Healthcare UNT-TCU GME (Fort Worth) Program,–,HCA Medical City Healthcare UNT-TCU GME (Fort Worth) Program,804800144.0,Stephen Weis,M,Kavina Bhula,1.0,1.0,1.0,West South Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,1,1,361.0,5,18,1.0,0.05555555556,0.002770083102,–,–,–
/Program/GetById/177,HealthPartners Institute Program,http://healthpartnersdermatologyresidency.com/,HealthPartners Institute Program,802600050.0,Neal Foman,M,Gretchen Jackson,3.0,2.0,2.0,West North Central,Community Hospital,Yes,No,–,–,# of Positions Filled:,3,3,542.0,5.5,30,3.0,0.1,0.005535055351,0.36,0.36,0.18
/Program/GetById/166,Henry Ford Health/Henry Ford Hospital Program,http://www.henryford.com/body_program.cfm?id=49992,Henry Ford Health/Henry Ford Hospital Program,802512046.0,Holly Kerr,F,Monica Murphy,7.0,7.0,7.0,East North Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,7,7,673.0,12.2,82,7.0,0.08536585366,0.01040118871,0.43,0.26,0
/Program/GetById/176,HES/Lake Granbury Medical Center Program,–,HES/Lake Granbury Medical Center Program,804800001.0,Clay Cockerell,M,Aurea Baez-Martinez,0.0,0.0,0.0,West South Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0.0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/178,HonorHealth Program,https://www.honorhealth.com/academic-affairs/dermatology-residency-program/residents,HonorHealth Program,800300148.0,Christopher Reardon,M,Maira Israel,2.0,2.0,2.0,Mountain,Community Hospital,Yes,No,–,–,# of Positions Filled:,2,2,455.0,6.6,30,2.0,0.06666666667,0.004395604396,0,0,0.1
/Program/GetById/181,Howard University Program,http://huhosp.org/Education/GME/Residency/Dermatology.htm,Howard University Program,801021025.0,Cheri Frey,F,Alonda Thompson,5.0,3.0,3.0,South Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,535.0,9,48,3.0,0.0625,0.005607476636,0.16,0.16,0
/Program/GetById/210,Icahn School of Medicine at Mount Sinai Program,http://www.mountsinaidermatology.com,Icahn School of Medicine at Mount Sinai Program,803500127.0,Alexandra Golant,F,Diana Ramos,9.0,10.0,9.0,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,9,9,594.0,0,0,9.0,#DIV/0!,0.01515151515,0.34,0.09,0
/Program/GetById/213,Indiana University School of Medicine Program,http://dermatology.medicine.iu.edu,Indiana University School of Medicine Program,801721035.0,Nidhi Avashia-Khemka,F,Kelli Cassidy,0.0,4.0,4.0,East North Central,Affiliated Hospital,Yes,No,–,2,2,2,2,627.0,7.2,45,4.0,0.08888888889,0.006379585327,0.78,0.17,0
/Program/GetById/215,Kaiser Permanente Southern California (Los Angeles) Program,https://residency-scal-kaiserpermanente.org/residency/dermatology/,Kaiser Permanente Southern California (Los Angeles) Program,800512144.0,Jeremy Man,M,Louis Arevalo,2.0,3.0,2.0,Pacific,Community Hospital,Yes,No,–,2,2,–,# of Positions Filled:,400.0,6.5,26,2.0,0.07692307692,0.005,0.4,0,0
/Program/GetById/219,Kansas City University GME Consortium (KCU-GME Consortium)/ADCS-Orlando Program,http://orlandodermresidency.com,Kansas City University GME Consortium (KCU-GME Consortium)/ADCS-Orlando Program,801100141.0,Jere Mammino,M,Kayla Alvarez,3.0,3.0,3.0,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,427.0,7.7,33,3.0,0.09090909091,0.007025761124,0.13,0.27,0.33
/Program/GetById/198,Kansas City University GME Consortium (KCU-GME Consortium) Phoenix Program,https://omnidermatology.com/,Kansas City University GME Consortium (KCU-GME Consortium) Phoenix Program,800300146.0,Andrew Racette,M,Tiffany Muser,0.0,2.0,2.0,Mountain,Affiliated Hospital,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0.0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/229,Larkin Community Hospital Palm Springs Campus Program,http://www.larkinhospital.com/,Larkin Community Hospital Palm Springs Campus Program,801100144.0,Brad Glick,M,Rita Mayorga,4.0,3.0,3.0,South Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,5,5,594.0,–,#VALUE!,5.0,#VALUE!,0.008417508418,0,0.07,0.21
