State,School,Matriculants,Affiliated Program,Affiliated Program 2,Unnamed: 5
AL,Alabama-Heersink,186.0,University of Alabama Medical Center Program,,
AL,South Alabama-Whiddon,78.0,,,
AR,Arkansas,175.0,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,,
AZ,Arizona,118.0,University of Arizona College of Medicine-Tucson Program,,
AZ,Arizona Phoenix,120.0,,,
CA,California,129.0,,,
CA,California Northstate,119.0,,,
CA,Drew,61.0,,,
CA,Kaiser Permanente-Tyson,50.0,Kaiser Permanente Southern California (Los Angeles) Program,,
CA,Loma Linda,176.0,Loma Linda University Health Education Consortium Program,,
CA,Southern Cal-Keck,186.0,University of Southern California/LAC+USC Medical Center Program,,
CA,Stanford,89.0,Stanford Health Care-Sponsored Stanford University Program,,
CA,UC Davis,137.0,University of California Davis Health Program,,
CA,UC Irvine,114.0,University of California (Irvine) Program,,
CA,UC Riverside,86.0,,,
CA,UC San Diego,141.0,University of California (San Diego) Medical Center Program,,
CA,UC San Francisco,173.0,University of California (San Francisco) Program,,
CA,UCLA-Geffen,175.0,UCLA David Geffen School of Medicine/UCLA Medical Center Program,,
CO,Colorado,181.0,University of Colorado Program,,
CT,Connecticut,112.0,University of Connecticut Program,,
CT,Quinnipiac-Netter,95.0,,,
CT,Yale,105.0,Yale-New Haven Medical Center Program,,
DC,George Washington,179.0,George Washington University School of Medicine Program,,
DC,Georgetown,201.0,,,
DC,Howard,127.0,Howard University Program,,
FL,FIU-Wertheim,121.0,,,
FL,Florida,135.0,University of Florida Program,,
FL,Florida Atlantic-Schmidt,76.0,,,
FL,Florida State,120.0,Florida State University College of Medicine Program,,
FL,Miami-Miller,201.0,University of Miami/Jackson Health System Program,,
FL,Nova Southeastern-Patel,53.0,,,
FL,UCF,120.0,University of Central Florida/HCA Florida Healthcare (Tallahassee) Program,,
FL,USF-Morsani,182.0,HCA Florida Healthcare/USF Morsani College of Medicine GME Largo Hospital,University of South Florida Morsani Program,
GA,Emory,139.0,Emory University School of Medicine Program,,
GA,MC Georgia Augusta,264.0,Medical College of Georgia Program,,
GA,Mercer,170.0,,,
GA,Morehouse,110.0,,,
HI,Hawaii-Burns,77.0,,,
