Region,Name,ACGME Program Code,Program Director,Program Coordinator,PGY1,PGY2,PGY3,Institutional Setting,Participates in ERAS,Program has Osteopathic Recognition,# of Residents Who Were Graduates of a Joint MD-PhD program,Categorical Positions,Categorical Positions Filled,Advanced Positions Offered,Advanced Positions Filled,# of Applicants:,Interviewed:,Alpha Omega Alpha (AOA),Alpha Omega Alpha (AOA),Gold Humanism Honor Society (GHHS),Gold Humanism Honor Society (GHHS),Sigma Sigma Phi (SSP),Sigma Sigma Phi (SSP)
South Atlantic,AdventHealth Florida Program,4201112260,Robert Groves,Maria Mangual,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,712,12.6,20%,11%,0%,5%,5%,5%
East North Central,Advocate Health Care/Advocate Illinois Masonic Medical Center Program,4201621217,Loren Zuiderveld,Katelynn Greer,3,3,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,732,8.2,–,–,–,–,–,–
Middle Atlantic,Albany Medical Center Program,4203511121,christine Cooley,Camille Dumas,5,5,4,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,678,12.5,8%,11%,4%,5%,0%,5%
Middle Atlantic,Albert Einstein Healthcare Network/Einstein Medical Center Montgomery Program,4204100242,Brooke Devenney,Shannon McKane,3,3,2,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,596,0.7,0%,11%,6%,5%,6%,5%
Middle Atlantic,Albert Einstein Healthcare Network Program,4204121165,Ryan Smith,Nichole Adkinson,7,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,6,6,"1,112",9.9,4%,11%,11%,5%,4%,5%
Middle Atlantic,Allegheny Health Network Medical Education Consortium (AGH) Program,4204121176,William Peterson,Melissa Laity,6,7,7,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,7,7,798,14.3,0%,11%,3%,5%,9%,5%
Middle Atlantic,Arnot Ogden Medical Center Program,4203500256,Gerard Buffo,Melissa Mattison,2,2,2,Community Hospital,Yes,No,–,2,2,–,# of Positions Filled:,423,11.8,–,–,–,–,–,–
Arrowhead Regional Medical Center,Arrowhead Regional Medical Center Program,4200500001,John Sohn,Erica Cyr,0,0,0,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,261,30.7,–,–,–,–,–,–
East North Central,Ascension Providence/MSUCHM Program,4202521103,Mathew Chakko,Eutropia Rhodes,3,3,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,619,8.1,0%,11%,0%,5%,7%,5%
Middle Atlantic,Atlantic Health System/Morristown Medical Center Program,4203311116,Justin Alpert,Molly Crowley,5,5,5,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,648,12.8,8%,11%,4%,5%,8%,5%
East North Central,Aultman Hospital/Mercy/NEOMED Program,4203821232,Colleen Morris,Amanda Fouts,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,556,10.8,0%,11%,5%,5%,5%,5%
East North Central,Aurora Health Care Program,4205612213,William MacDonald,Camille Dykas,4,5,6,Community Hospital,Yes,No,–,4,4,–,# of Positions Filled:,689,13.2,0%,11%,5%,5%,5%,5%
South Atlantic,Baptist Health South Florida Program,4201100001,Katharine Lampen-Sachar,Claudia Pace,0,0,0,Community Hospital,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,–,–,–,–,–,–
East South Central,Baptist Memorial Medical Education Program,4204712186,John Stanfill,Angela Callens,6,6,7,Community Hospital,Yes,No,–,–,# of Positions Filled:,6,6,593,13.5,3%,11%,7%,5%,10%,5%
West South Central,Baylor College of Medicine Program,4204821195,Pedro Diaz-Marchan,Lori Burlin,12,12,12,University Hospital,Yes,No,–,–,# of Positions Filled:,12,12,"1,131",12.4,7%,11%,8%,5%,7%,5%
West South Central,Baylor University Medical Center Program,4204822190,Joseph Philip,Janet Palmer,7,7,7,Affiliated Hospital,Yes,No,–,5,5,2,2,958,10.6,36%,11%,8%,5%,0%,5%
East North Central,Beaumont Health (Dearborn) Program,4202512092,Graham Appleford,Via Barias,4,4,4,Affiliated Hospital,Yes,No,–,5,5,–,# of Positions Filled:,628,6.4,0%,11%,9%,5%,9%,5%
East North Central,Beaumont Health (Farmington Hills) Program,4202500105,Timothy McKnight,Kira Smith,2,2,2,Affiliated Hospital,Yes,No,–,3,3,1,1,588,7.0,–,–,–,–,–,–
East North Central,Beaumont Health (Royal Oak) Program,4202512102,Daniel Piziali,Janelle Adkins,6,6,6,Affiliated Hospital,Yes,No,–,8,8,–,# of Positions Filled:,795,18.1,15%,11%,12%,5%,0%,5%
New England,Beth Israel Deaconess Medical Center Program,4202421080,Jennifer Cutts,Katelyn Sullivan,8,8,8,University Hospital,Yes,No,1,–,# of Positions Filled:,8,8,918,21.8,8%,11%,5%,5%,0%,5%
New England,Boston University Medical Center Program,4202421081,Asim Mian,Yanqi Liu,10,10,9,University Hospital,Yes,No,–,–,# of Positions Filled:,9,9,"1,058",13.0,6%,11%,2%,5%,0%,5%
New England,Bridgeport Hospital/Yale University Program,4200812039,Kiran Sheikh,Eileana Valentin,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,783,10.2,0%,11%,0%,5%,0%,5%
New England,Brigham and Women's Hospital/Harvard Medical School Program,4202421085,Sara Durfee,Sandra Palma,8,8,8,University Hospital,Yes,No,1,–,# of Positions Filled:,7,7,947,9.0,31%,11%,8%,5%,0%,5%
East South Central,Brookwood Baptist Health Program,4200121006,Bibb Allen,Missy Fadlevich,4,4,4,Community Hospital,Yes,No,–,4,4,–,# of Positions Filled:,468,21.4,0%,11%,6%,5%,6%,5%
New England,Brown University Program,4204321183,Ana Lourenco,Jill Eastman,6,7,6,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,847,12.4,13%,11%,13%,5%,0%,5%
East North Central,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,4203821153,Michael Wien,Emily Plas,9,10,9,University Hospital,Yes,No,2,–,# of Positions Filled:,9,9,"1,120",8.9,6%,11%,2%,5%,6%,5%
Pacific,Cedars-Sinai Medical Center Program,4200521018,Thomas Learch,Joseph Stuckelman,3,3,3,Community Hospital,Yes,No,–,–,# of Positions Filled:,3,3,632,8.5,–,–,–,–,–,–
South Atlantic,Christiana Care Health Services Program,4200911044,Mohammed Ali,Teresa Thuet,4,4,5,Affiliated Hospital,Yes,No,–,4,4,–,# of Positions Filled:,763,12.5,5%,11%,5%,5%,19%,5%
East North Central,Cleveland Clinic Foundation Program,4203812154,Joseph Veniero,Danielle Berry,8,8,8,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,8,8,"1,119",13.6,25%,11%,3%,5%,18%,5%
East North Central,Cook County Health and Hospitals System Program,4201621055,Morlie Wang,Anna Johnson,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,755,7.9,0%,11%,5%,5%,10%,5%
Middle Atlantic,Cooper Medical School of Rowan University/Cooper University Hospital Program,4203321244,Sabina Amin,Sandra Knapp,5,5,5,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,688,14.4,4%,11%,0%,5%,13%,5%
West North Central,Creighton University School of Medicine (Omaha) Program,4203021220,Johanna Schubert,Reva Aguilar,3,3,3,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,595,11.8,0%,11%,7%,5%,7%,5%
Mountain,Creighton University School of Medicine Program,4200312010,Dane Van Tassel,Roberta Valley,8,8,8,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,8,8,801,18.2,3%,11%,9%,5%,0%,5%
New England,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,4203211113,Stephanie Yen,Jill Rosenthal,3,3,2,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,626,17.3,13%,11%,0%,5%,13%,5%
Pacific,David Grant Medical Center Program,4200521001,Ely Wolin,Michelle Prince,3,3,3,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,–,–,–,–,–,–
East North Central,Detroit Medical Center/Wayne State University Program,4202521096,Ali Harb,Nitasha Cheema,10,10,10,University Hospital,Yes,No,–,–,# of Positions Filled:,11,11,815,18.4,0%,11%,4%,5%,6%,5%
West South Central,"Doctors Hospital at Renaissance, Ltd. Program",4204800001,Mario Moya,Debra Gomez,0,0,0,Not Available,Yes,No,–,–,# of Positions Filled:,3,–,0,–,–,–,–,–,–,–
South Atlantic,Duke University Hospital Program,4203631149,Michael Taylor-Cho,Candie Stewart,10,10,10,University Hospital,Yes,No,2,–,# of Positions Filled:,10,10,"1,046",7.2,39%,11%,12%,5%,0%,5%
South Atlantic,Eastern Virginia Medical School Program,4205121202,Lester Johnson,Marleen Viola,5,3,4,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,803,11.8,5%,11%,10%,5%,0%,5%
South Atlantic,Emory University School of Medicine Program,4201221052,Christopher Ho,Angela Huff,14,14,13,University Hospital,Yes,No,6,–,# of Positions Filled:,14,14,"1,320",15.4,18%,11%,13%,5%,1%,5%
East North Central,Franciscan Health Olympia Fields Program,4201600679,Gregory Henkle,Kelly Deasy,3,3,4,Community Hospital,Yes,No,–,3,3,–,# of Positions Filled:,560,9.8,–,–,–,–,–,–
Middle Atlantic,Geisinger Health System Program,4204121163,Kayleigh Taylor,Melissa Rea,5,4,3,Community Hospital,Yes,No,–,–,# of Positions Filled:,5,5,806,9.9,0%,11%,0%,5%,18%,5%
South Atlantic,George Washington University Program,4201021046,John Lichtenberger,Norma Smith-Glenn,4,6,6,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,"1,067",9.4,8%,11%,0%,5%,0%,5%
Middle Atlantic,Harlem Hospital Center Program,4203521214,Sudha Ramachandran,Winsome Gordon,2,2,5,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,433,16.2,0%,11%,0%,5%,0%,5%
New England,Hartford Hospital Program,4200822041,Timothy Herbst,Paula Levenson,5,5,6,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,768,11.7,–,–,–,–,–,–
South Atlantic,HCA Florida Healthcare/Aventura Hospital Program,4201100262,Brett McKeon,Jane Rentas,5,5,5,Community Hospital,Yes,No,–,5,5,–,# of Positions Filled:,665,18.0,6%,11%,6%,5%,6%,5%
South Atlantic,HCA Florida Healthcare/USF Morsani College of Medicine GME Trinity Hospital Program,4201100263,Sandor Szilagyi,Jennifer Aceituno-Cardona,6,6,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,6,6,575,15.0,0%,11%,5%,5%,27%,5%
South Atlantic,HCA Healthcare/Mercer University School of Medicine/Memorial Health University Medical Center Program,4201212054,Dhruvkumar Patel,Antoinette McDonough,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,588,12.8,5%,11%,5%,5%,0%,5%
Pacific,HCA Healthcare Riverside Program,4200500916,Shiv Bhanu,Elizabeth Martinez,4,3,5,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,457,–,7%,11%,0%,5%,13%,5%
Mountain,HCA Healthcare Sunrise Health GME/MountainView Program,4203100001,Sean Beaty,Melinda Thrasher,5,5,5,Community Hospital,Yes,No,–,–,# of Positions Filled:,5,5,461,10.8,5%,11%,0%,5%,9%,5%
East North Central,Henry Ford Health/Henry Ford Hospital Program,4202511093,Brent Griffith,Alice Brown,8,8,8,Affiliated Hospital,Yes,No,–,8,8,–,# of Positions Filled:,788,15.2,3%,11%,8%,5%,5%,5%
Middle Atlantic,Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital Program,4203521135,Kathleen Halton,Katharina Wang,8,8,7,University Hospital,Yes,No,1,–,# of Positions Filled:,7,7,988,10.1,3%,11%,5%,5%,0%,5%
Middle Atlantic,Icahn School of Medicine at Mount Sinai/West Program,4203521224,Amita Kamath,Paula Green,11,10,12,Affiliated Hospital,Yes,No,1,–,# of Positions Filled:,11,11,967,13.4,4%,11%,9%,5%,2%,5%
East North Central,Indiana University School of Medicine Program,4201721066,Atul Agarwal,John Donatelli,11,12,13,University Hospital,Yes,No,1,2,2,9,9,986,14.2,18%,11%,4%,5%,2%,5%
