Program,Home Program,Program Name,PD Gender,Region,Total Spots
University of Illinois College of Medicine at Chicago Program,83.33333333333334,University of Illinois College of Medicine at Chicago Program,F,East North Central,4
Ohio State University Hospital Program,75,Ohio State University Hospital Program,F,East North Central,4
Virginia Commonwealth University Health System Program,66.66666666666666,Virginia Commonwealth University Health System Program,F,South Atlantic,2
Indiana University School of Medicine Program,61.53846153846154,Indiana University School of Medicine Program,M,East North Central,4
University of Iowa Hospitals and Clinics Program,58.82352941176471,University of Iowa Hospitals and Clinics Program,M,West North Central,5
New York Presbyterian Hospital (Columbia Campus) Program,58.333333333333336,New York Presbyterian Hospital (Columbia Campus) Program,F,Middle Atlantic,5
UMass Chan Medical School Program,58.333333333333336,UMass Chan Medical School Program,M,New England,4
Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,57.14285714285714,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,M,Middle Atlantic,4
Medical College of Georgia Program,55.55555555555556,Medical College of Georgia Program,F,South Atlantic,3
University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,55.55555555555556,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,F,West South Central,3
Eastern Virginia Medical School Program at Old Dominion University,50,,F,South Atlantic,2
Wayne State University School of Medicine Program,50,Wayne State University School of Medicine Program,M,East North Central,4
Wright State University Program,50,,M,East North Central,2
University of Southern California/LAC+USC Medical Center Program,50,University of Southern California/LAC+USC Medical Center Program,F,Pacific,4
University of Texas Health Science Center at Houston Program,47.61904761904761,,F,West South Central,7
Temple University Hospital Program,44.44444444444444,Temple University Hospital Program,F,Middle Atlantic,3
University of Maryland Program,44.44444444444444,University of Maryland Program,F,South Atlantic,2
George Washington University School of Medicine Program,42.857142857142854,,M,South Atlantic,3
Medical University of South Carolina Program,42.857142857142854,Medical University of South Carolina Program,M,South Atlantic,5
Baylor College of Medicine Program,41.17647058823529,Baylor College of Medicine Program,M,West South Central,4
Medical College of Wisconsin Affiliated Hospitals Program,40,Medical College of Wisconsin Affiliated Hospitals Program,M,East North Central,5
University of California (Irvine) Program,40,University of California (Irvine) Program,F,Pacific,5
University of Texas Southwestern Medical Center Program,40,University of Texas Southwestern Medical Center Program,M,West South Central,8
University of North Carolina Hospitals Program,38.88888888888889,University of North Carolina Hospitals Program,F,South Atlantic,6
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,38.88888888888889,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,M,East North Central,6
University of Mississippi School of Medicine Program,38.46153846153847,University of Mississippi School of Medicine Program,F,East South Central,4
UCLA David Geffen School of Medicine/UCLA Medical Center Program,37.5,UCLA David Geffen School of Medicine/UCLA Medical Center Program,F,Pacific,5
Yale-New Haven Medical Center Program,37.5,,M,New England,5
University of Connecticut Program,37.5,University of Connecticut Program,M,New England,4
SUNY Downstate Health Sciences University Program,37.5,SUNY Downstate Health Sciences University Program,F,Middle Atlantic,8
University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,36.36363636363637,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,M,West South Central,3
University of Oklahoma Health Sciences Center Program,35.714285714285715,University of Oklahoma Health Sciences Center Program,F,West South Central,4
Louisiana State University Program,35.294117647058826,,F,West South Central,6
University of Miami/Jackson Health System Program,34.78260869565217,University of Miami/Jackson Health System Program,M,South Atlantic,9
Mass General Brigham/Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women’s Hosp Program,34.375,,F,New England,10
Rutgers Health/Robert Wood Johnson Medical School Program,33.33333333333333,Rutgers Health/Robert Wood Johnson Medical School Program,F,Middle Atlantic,2
Oregon Health and Science University (OHSU Health) Program,33.33333333333333,,F,Pacific,5
Southern Illinois University Program,33.33333333333333,Southern Illinois University Program,M,East North Central,3
University of Louisville School of Medicine Program,33.33333333333333,University of Louisville School of Medicine Program,F,East South Central,2
Stony Brook Medicine/University Hospital Program,33.33333333333333,Stony Brook Medicine/University Hospital Program,M,Middle Atlantic,3
University of Texas Medical Branch Hospitals Program,33.33333333333333,University of Texas Medical Branch Hospitals Program,M,West South Central,6
University of Colorado Program,33.33333333333333,University of Colorado Program,F,Mountain,5
NYU Grossman School of Medicine Program,32,NYU Grossman School of Medicine Program,F,Middle Atlantic,8
Duke University Hospital Program,31.25,Duke University Hospital Program,F,South Atlantic,6
St Louis University School of Medicine Program,30.76923076923077,St Louis University School of Medicine Program,F,West North Central,6
McGaw Medical Center of Northwestern University Program,30.76923076923077,McGaw Medical Center of Northwestern University Program,F,East North Central,6
University of California (San Francisco) Program,30.434782608695656,,F,Pacific,7
Emory University School of Medicine Program,30,Emory University School of Medicine Program,F,South Atlantic,6
University of Alabama Medical Center Program,29.411764705882355,University of Alabama Medical Center Program,F,East South Central,7
Johns Hopkins University Program,27.27272727272727,,M,South Atlantic,7
University of Missouri-Columbia Program,27.27272727272727,University of Missouri-Columbia Program,F,West North Central,3
Vanderbilt University Medical Center Program,26.666666666666668,Vanderbilt University Medical Center Program,F,East South Central,5
Montefiore Medical Center/Albert Einstein College of Medicine Program,26.31578947368421,Montefiore Medical Center/Albert Einstein College of Medicine Program,M,Middle Atlantic,7
UPMC Medical Education Program,26.31578947368421,,F,Middle Atlantic,6
Geisinger Health System Program,25,Geisinger Health System Program,M,Middle Atlantic,4
University of Arizona College of Medicine-Tucson Program,25,University of Arizona College of Medicine-Tucson Program,M,Mountain,4
Washington University/B-JH/SLCH Consortium Program,25,,F,West North Central,6
Mayo Clinic College of Medicine and Science (Rochester) Program,25,Mayo Clinic College of Medicine and Science (Rochester) Program,F,West North Central,8
Cooper Medical School of Rowan University/Cooper University Hospital Program,25,,M,Middle Atlantic,1
Wake Forest University School of Medicine Program,23.809523809523807,,F,South Atlantic,4
Penn State Milton S Hershey Medical Center Program,23.076923076923077,Penn State Milton S Hershey Medical Center Program,F,Middle Atlantic,4
New York Presbyterian Hospital (Cornell Campus) Program,23.076923076923077,New York Presbyterian Hospital (Cornell Campus) Program,M,Middle Atlantic,4
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,22.22222222222222,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,F,New England,3
Rush University Medical Center Program,22.22222222222222,Rush University Medical Center Program,M,East North Central,2
Icahn School of Medicine at Mount Sinai Program,22.22222222222222,Icahn School of Medicine at Mount Sinai Program,F,Middle Atlantic,9
Texas Tech University Health Sciences Center at Lubbock Program,22.22222222222222,Texas Tech University Health Sciences Center at Lubbock Program,M,West South Central,3
Stanford Health Care-Sponsored Stanford University Program,21.21212121212121,,F,Pacific,8
University of Minnesota Program,21.052631578947366,University of Minnesota Program,F,West North Central,4
University of Michigan Health System Program,20.833333333333336,University of Michigan Health System Program,F,East North Central,9
University of Cincinnati Medical Center/College of Medicine Program,20,University of Cincinnati Medical Center/College of Medicine Program,M,East North Central,3
University of Chicago Program,20,University of Chicago Program,F,East North Central,3
University of Virginia Medical Center Program,20,University of Virginia Medical Center Program,M,South Atlantic,3
University of Rochester Program,20,University of Rochester Program,F,Middle Atlantic,5
University of California (San Diego) Medical Center Program,20,University of California (San Diego) Medical Center Program,F,Pacific,5
